stress,strain,T,strainrate,porosity
0,0,25,1200,26
1.06E+00,2.23665E-06,25,1200,26
0.846978664,4.18928E-06,25,1200,26
0.423496596,6.67446E-06,25,1200,26
0.211739602,1.06862E-05,25,1200,26
0,1.4556E-05,25,1200,26
0.846966245,1.88519E-05,25,1200,26
0.42348959,2.32188E-05,25,1200,26
0.211735896,2.81892E-05,25,1200,26
0.635219803,3.32306E-05,25,1200,26
0.846949857,3.8201E-05,25,1200,26
0.211732754,4.30295E-05,25,1200,26
1.058687936,4.84261E-05,25,1200,26
1.270412247,5.34321E-05,25,1200,26
0.42347463,5.85447E-05,25,1200,26
0.635200791,6.31603E-05,25,1200,26
0.211727492,6.78824E-05,25,1200,26
0.423468676,7.26045E-05,25,1200,26
0.846916841,7.71846E-05,25,1200,26
-0.211724794,8.15163E-05,25,1200,26
1.058648544,8.56349E-05,25,1200,26
0.846906406,8.9505E-05,25,1200,26
0.635181644,9.33041E-05,25,1200,26
0,9.68901E-05,25,1200,26
0.423457054,0.00010005,25,1200,26
1.270348784,0.000103388,25,1200,26
0.423454227,0.000106725,25,1200,26
0.423452739,0.00011024,25,1200,26
0.635168631,0.000113791,25,1200,26
0.846883102,0.000117022,25,1200,26
0.635164684,0.000120005,25,1200,26
1.482038109,0.000123307,25,1200,26
0.846875434,0.000126076,25,1200,26
1.270315767,0.000129378,25,1200,26
1.482024374,0.000132574,25,1200,26
1.482019954,0.000135557,25,1200,26
1.482014692,0.000139107,25,1200,26
1.058588178,0.000142658,25,1200,26
1.482003746,0.000146493,25,1200,26
1.905430989,0.000150434,25,1200,26
1.905423683,0.000154269,25,1200,26
2.117123223,0.000158033,25,1200,26
1.905409339,0.000161797,25,1200,26
2.117106384,0.000165987,25,1200,26
2.96394332,0.00017039,25,1200,26
2.752211883,0.000174828,25,1200,26
2.540496662,0.000179799,25,1200,26
3.175601371,0.000184593,25,1200,26
3.810696673,0.000189813,25,1200,26
3.387264405,0.000195494,25,1200,26
4.657453811,0.000200714,25,1200,26
4.6574252,0.000206857,25,1200,26
3.810606419,0.000213497,25,1200,26
4.233981148,0.000219996,25,1200,26
5.504126977,0.000225855,25,1200,26
4.869010865,0.000232353,25,1200,26
5.927430299,0.000239278,25,1200,26
6.774149201,0.00024606,25,1200,26
